,city_from,city_to,weight
0,Ростов-на-Дону,Бор,0.3
1,Москва,Волгоград,5.0
2,Сочи,Москва,0.06
3,Добрянка,Пермь,0.1
4,Зерноград,Санкт-Петербург,0.5
5,Москва,Волжский,0.5
6,Москва,Минск,4.08
7,Петрозаводск,Некрасовка район,1.0
8,"Аксай, Ростовская область",Майкоп,0.6
9,Москва,Рязань,0.9
10,Нижнекамск,Пермь,0.5
11,Нижний Новгород,Тюмень,0.1
12,Москва,Новокузнецк,1.0
13,Москва,Ярославль,1.0
14,Казань,Ишим,0.5
15,Тюмень,Новый Уренгой,33.0
16,Москва,Санкт-Петербург,4.0
17,"Аксай, Ростовская область",Нижний Новгород,0.3
18,Самара,Звенигород,1.72
19,Рыбинск,Тихвин,0.1
20,Москва,Ступино,0.9
21,Санкт-Петербург,Чебоксары,1.0
22,Брянск,Алушта,0.1
23,"Аксай, Ростовская область",Волжский,0.3
24,Новосибирск,Владивосток,0.5
25,Копейск,Черноморское,0.3
26,Москва,Москва,1.4
27,Санкт-Петербург,Буденновск,1.0
28,Минск,Волоколамск,0.6
29,Москва,Ставрополь,0.1
30,Санкт-Петербург,Майкоп,1.4
31,Новороссийск,Королев,4.54
32,Екатеринбург,Котлас,1.0
33,"Аксай, Ростовская область",Уфа,0.3
34,Москва,Минск,0.16
35,Москва,Рыбинск,0.6
36,Пятигорск,Щербинка,0.1
37,Новосибирск,Чита,0.5
38,Москва,Пятигорск,0.1
39,Москва,Красноярск,0.3
40,Москва,Павловский Посад,5.45
41,Щелково,Старая Купавна,0.5
42,Белгород,Сергиев Посад,0.5
43,Семенов,Краснодар,5.0
44,"Аксай, Ростовская область",Ярославль,0.6
45,Москва,Саратов,0.1
46,Мытищи,Самара,3.0
47,Минск,Ленинградская,0.4
48,Санкт-Петербург,Балашиха,0.3
49,Сочи,Иркутск,6.5
50,Курск,Подольск,0.5
51,Мытищи,Санкт-Петербург,3.38
52,Селятино,Москва,0.7
53,Краснодар,Санкт-Петербург,0.1
54,Москва,Анапа,1.0
55,Пермь,Челябинск,1.5
56,"Аксай, Ростовская область",Гатчина,0.3
57,Старый Оскол,Златоуст,0.2
58,Москва,Некрасовка район,0.5
59,Москва,Казань,0.5
60,Зеленокумск,Москва,0.2
61,Балашов,Щелково,0.9
62,Москва,Звенигород,0.3
63,Семенов,Чита,4.1
64,Москва,Тамбов,1.94
65,Йошкар-Ола,Белгород,1.0
66,Краснодар,Сочи,0.1
67,Петрозаводск,Москва,0.2
68,Москва,Королев,0.5
69,Москва,Жуковский,1.2
70,Москва,Москва,0.1
71,"Аксай, Ростовская область",Магнитогорск,0.3
72,Пермь,Тальменка,0.3
73,Москва,Пятигорск,0.3
74,Санкт-Петербург,Ухта,0.3
75,Великие Луки,"Железнодорожный, Балашиха",1.1
76,Киров,Москва,1.67
